"","Y","M","D","Tmean"
"1",1920,1,1,2.38999994657934
"2",1920,1,2,1.86999995820224
"3",1920,1,3,1.80999995954335
"4",1920,1,4,-1.17999997362494
"5",1920,1,5,-0.219999995082617
"6",1920,1,6,-4.59999989718199
"7",1920,1,7,-4.27999990433455
"8",1920,1,8,0.359999991953373
"9",1920,1,9,2.42999994568527
"10",1920,1,10,0.959999978542328
"11",1920,1,11,1.39999996870756
"12",1920,1,12,3.48999992199242
"13",1920,1,13,4.00999991036952
"14",1920,1,14,4.50999989919364
"15",1920,1,15,-0.639999985694885
"16",1920,1,16,-2.18999995104969
"17",1920,1,17,2.95999993383884
"18",1920,1,18,5.16999988444149
"19",1920,1,19,4.65999989584088
"20",1920,1,20,4.99999988824129
"21",1920,1,21,2.10999995283782
"22",1920,1,22,4.77999989315867
"23",1920,1,23,-2.88999993540347
"24",1920,1,24,-7.84999982453883
"25",1920,1,25,-6.74999984912574
"26",1920,1,26,-6.16999986208975
"27",1920,1,27,-9.08999979682267
"28",1920,1,28,-11.2999997474253
"29",1920,1,29,-11.7799997366965
"30",1920,1,30,-7.5199998319149
"31",1920,1,31,-6.06999986432493
"32",1920,2,1,-3.37999992445111
"33",1920,2,2,-0.439999990165234
"34",1920,2,3,0.899999979883432
"35",1920,2,4,0.34999999217689
"36",1920,2,5,0.369999991729856
"37",1920,2,6,-0.0799999982118607
"38",1920,2,7,0.0299999993294477
"39",1920,2,8,-1.32999997027218
"40",1920,2,9,-2.4099999461323
"41",1920,2,10,1.53999996557832
"42",1920,2,11,3.85999991372228
"43",1920,2,12,2.82999993674457
"44",1920,2,13,1.80999995954335
"45",1920,2,14,1.57999996468425
"46",1920,2,15,0.0599999986588955
"47",1920,2,16,-2.11999995261431
"48",1920,2,17,-1.42999996803701
"49",1920,2,18,-2.70999993942678
"50",1920,2,19,-1.62999996356666
"51",1920,2,20,-0.299999993294477
"52",1920,2,21,-2.52999994345009
"53",1920,2,22,-1.11999997496605
"54",1920,2,23,1.63999996334314
"55",1920,2,24,1.63999996334314
"56",1920,2,25,1.91999995708466
"57",1920,2,26,1.35999996960163
"58",1920,2,27,2.71999993920326
"59",1920,2,28,0.779999982565641
"60",1920,2,29,2.06999995373189
"61",1920,3,1,4.17999990656972
"62",1920,3,2,4.77999989315867
"63",1920,3,3,4.36999990232289
"64",1920,3,4,6.45999985560775
"65",1920,3,5,6.8299998473376
"66",1920,3,6,6.37999985739589
"67",1920,3,7,10.8099997583777
"68",1920,3,8,7.81999982520938
"69",1920,3,9,1.99999995529652
"70",1920,3,10,0.839999981224537
"71",1920,3,11,NA
"72",1920,3,12,1.38999996893108
"73",1920,3,13,2.34999994747341
"74",1920,3,14,0.569999987259507
"75",1920,3,15,0.849999981001019
"76",1920,3,16,4.12999990768731
"77",1920,3,17,5.14999988488853
"78",1920,3,18,7.01999984309077
"79",1920,3,19,5.16999988444149
"80",1920,3,20,3.3299999255687
"81",1920,3,21,5.44999987818301
"82",1920,3,22,4.62999989651144
"83",1920,3,23,3.1599999293685
"84",1920,3,24,2.87999993562698
"85",1920,3,25,6.029999865219
"86",1920,3,26,6.07999986410141
"87",1920,3,27,7.62999982945621
"88",1920,3,28,8.57999980822206
"89",1920,3,29,5.57999987527728
"90",1920,3,30,5.32999988086522
"91",1920,3,31,7.32999983616173
"92",1920,4,1,8.2099998164922
"93",1920,4,2,8.81999980285764
"94",1920,4,3,8.23999981582165
"95",1920,4,4,7.85999982431531
"96",1920,4,5,7.32999983616173
"97",1920,4,6,7.1199998408556
"98",1920,4,7,6.43999985605478
"99",1920,4,8,8.10999981872737
"100",1920,4,9,11.7099997382611
"101",1920,4,10,13.6999996937811
"102",1920,4,11,14.6599996723235
"103",1920,4,12,16.1899996381253
"104",1920,4,13,14.1599996834993
"105",1920,4,14,14.3199996799231
"106",1920,4,15,13.4499996993691
"107",1920,4,16,16.4799996316433
"108",1920,4,17,14.3099996801466
"109",1920,4,18,15.9799996428192
"110",1920,4,19,14.7299996707588
"111",1920,4,20,11.5899997409433
"112",1920,4,21,9.36999979056418
"113",1920,4,22,10.6799997612834
"114",1920,4,23,12.909999711439
"115",1920,4,24,9.93999977782369
"116",1920,4,25,13.0399997085333
"117",1920,4,26,11.1799997501075
"118",1920,4,27,9.6999997831881
"119",1920,4,28,10.9899997543544
"120",1920,4,29,10.6599997617304
"121",1920,4,30,8.64999980665743
"122",1920,5,1,9.96999977715313
"123",1920,5,2,13.5199996978045
"124",1920,5,3,16.5999996289611
"125",1920,5,4,12.7199997156858
"126",1920,5,5,10.5399997644126
"127",1920,5,6,7.86999982409179
"128",1920,5,7,11.3699997458607
"129",1920,5,8,11.8799997344613
"130",1920,5,9,11.2299997489899
"131",1920,5,10,9.10999979637563
"132",1920,5,11,7.88999982364476
"133",1920,5,12,9.09999979659915
"134",1920,5,13,13.2099997047335
"135",1920,5,14,15.2799996584654
"136",1920,5,15,9.72999978251755
"137",1920,5,16,7.81999982520938
"138",1920,5,17,12.8499997127801
"139",1920,5,18,18.6899995822459
"140",1920,5,19,19.0399995744228
"141",1920,5,20,19.9599995538592
"142",1920,5,21,21.1999995261431
"143",1920,5,22,18.7199995815754
"144",1920,5,23,16.4099996332079
"145",1920,5,24,18.4499995876104
"146",1920,5,25,20.1699995491654
"147",1920,5,26,19.6999995596707
"148",1920,5,27,18.6899995822459
"149",1920,5,28,16.6999996267259
"150",1920,5,29,17.7599996030331
"151",1920,5,30,18.3699995893985
"152",1920,5,31,18.089999595657
"153",1920,6,1,16.7999996244907
